Last Name,First Name,Middle Name,Title,Subtitle,Language,Year,Series,ID,Last Name UPPER,Middle Name UPPER,First Name UPPER
Кинг,Стивен,,«Кадиллак» Долана,,ru,1989.0,Ночные кошмары и фантастические видения 1,218566,КИНГ,,СТИВЕН
Кинг,Стивен,,«Нью-Йорк таймс» по специальной цене,litres,ru,2012.0,Сразу после заката 10,522828,КИНГ,,СТИВЕН
Кинг,Стивен,,«Нью-Йорк Таймс» с особыми скидками,,ru,2005.0,Сразу после заката 10,182749,КИНГ,,СТИВЕН
Кинг,Стивен,,11.22.63,,ru,2011.0,"Кинг, Стивен. Романы 34",304666,КИНГ,,СТИВЕН
Кинг,Стивен,,11/22/63,en,en,2011.0,,251754,КИНГ,,СТИВЕН
Кинг,Стивен,,11/22/63,bg,bg,2011.0,,319595,КИНГ,,СТИВЕН
Кинг,Стивен,,11/22/63,litres,ru,2013.0,"Кинг, Стивен. Романы 34|Темная башня (АСТ) 0",319823,КИНГ,,СТИВЕН
Кинг,Стивен,,11/22/63,uk,uk,2012.0,,331194,КИНГ,,СТИВЕН
Кинг,Стивен,,1408,,bg,,Всичко е съдбовно 12,213040,КИНГ,,СТИВЕН
Кинг,Стивен,,1408,,ru,2004.0,Все предельно 12|Стивен Кинг. Собрание сочинений 0,263962,КИНГ,,СТИВЕН
Кинг,Стивен,,1922,,ru,,"Тьма, — и больше ничего 1",504072,КИНГ,,СТИВЕН
Кинг,Стивен,,22 ноември 1963,,bg,2012.0,,438906,КИНГ,,СТИВЕН
Кинг,Стивен,,81 миля,,ru,2011.0,Ярмарка дурных снов [сборник] 1,246386,КИНГ,,СТИВЕН
Кинг,Стивен,,81 миля,Л/П,ru,2011.0,Ярмарка дурных снов [сборник] 1,246979,КИНГ,,СТИВЕН
Кинг,Стивен,,999. Имя зверя,антология,ru,2000.0,999 1|Антология ужасов 2000,253271,КИНГ,,СТИВЕН
Кинг,Стивен,,A Bedroom in the Wee Hours of the Morning,,en,,,269468,КИНГ,,СТИВЕН
Кинг,Стивен,,A Death,,en,2015.0,,616303,КИНГ,,СТИВЕН
Кинг,Стивен,,A Escolha dos Três,,pt,2004.0,A Torre Negra 2,262597,КИНГ,,СТИВЕН
Кинг,Стивен,,A Good Marriage,,en,2014.0,,379961,КИНГ,,СТИВЕН
Кинг,Стивен,,A Torre Negra,,pt,2007.0,A Torre Negra 7,268838,КИНГ,,СТИВЕН
Кинг,Стивен,,An Evening at GODs,,en,,,269469,КИНГ,,СТИВЕН
Кинг,Стивен,,Apt Pupil,,en,1998.0,,313892,КИНГ,,СТИВЕН
Кинг,Стивен,,As Terras Devastadas,,pt,2005.0,A Torre Negra 3,261946,КИНГ,,СТИВЕН
Кинг,Стивен,,Autopsy Room Four,,en,,,269470,КИНГ,,СТИВЕН
Кинг,Стивен,,Bag of Bones,,en,,Stephen Kings Novels 40,126152,КИНГ,,СТИВЕН
Кинг,Стивен,,Bellas durmientes,Sleeping Beauties es,es,2018.0,,511265,КИНГ,,СТИВЕН
Кинг,Стивен,,Big Driver,,en,2014.0,,379962,КИНГ,,СТИВЕН
Кинг,Стивен,,Billy Summers,en,en,2021.0,,636765,КИНГ,,СТИВЕН
Кинг,Стивен,,Black House,,en,2001.0,the talisman 2,269471,КИНГ,,СТИВЕН
Кинг,Стивен,,Blaze,,es,,,254560,КИНГ,,СТИВЕН
Кинг,Стивен,,Blaze,,en,2008.0,,304752,КИНГ,,СТИВЕН
Кинг,Стивен,,Blind Willie,,en,,,269473,КИНГ,,СТИВЕН
Кинг,Стивен,,Blind Willie,Параллельный перевод на русский,en,,,435373,КИНГ,,СТИВЕН
Кинг,Стивен,,Blockade Billy,,en,2010.0,,195175,КИНГ,,СТИВЕН
Кинг,Стивен,,Bullet,,en,,,269474,КИНГ,,СТИВЕН
Кинг,Стивен,,By Blood We Live,Anthology,en,2009.0,,214371,КИНГ,,СТИВЕН
Кинг,Стивен,,Canção de Susannah,,pt,2005.0,A Torre Negra 6,268837,КИНГ,,СТИВЕН
Кинг,Стивен,,Carnets noirs,,fr,2016.0,A.M.THRIL.POLAR 0|La Trilogie Bill Hodges 2,522604,КИНГ,,СТИВЕН
Кинг,Стивен,,Carrie,,en,1974.0,Stephen Kings Novels 1,216254,КИНГ,,СТИВЕН
Кинг,Стивен,,Case,,en,,,269475,КИНГ,,СТИВЕН
Кинг,Стивен,,Cell,,en,2006.0,Stephen Kings Novels 49,67277,КИНГ,,СТИВЕН
Кинг,Стивен,,Chinga,,en,,,269476,КИНГ,,СТИВЕН
Кинг,Стивен,,Christine,,en,,Stephen Kings Novels 16,155168,КИНГ,,СТИВЕН
